[kW/h],Diesel [gal],Prod [kg],Date
0,0,0,Ene 2021
0,0,0,Feb-21
0,0,0,Mar-21
0,0,0,Abr 2021
0,0,0,May-21
0,0,0,Jun-21
0,0,0,Jul-21
0,0,0,Ago 2021
0,0,0,Sep-21
0,0,0,Oct-21
0,0,0,Nov-21
0,0,0,Dic 2021
0,0,0,Ene 2022
0,0,0,Feb-22
0,0,0,Mar-22
0,0,0,Abr 2022
0,0,0,May-22
0,0,0,Jun-22
0,0,0,Jul-22
0,0,0,Ago 2022
0,0,0,Sep-22
0,0,0,Oct-22
